"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19";"V20";"V21";"V22";"V23";"V24";"V25";"V26";"V27";"V28";"V29";"V30";"V31";"V32";"V33";"V34";"V35";"V36";"V37";"V38";"V39";"V40";"V41";"V42";"V43";"V44";"V45";"V46";"V47";"V48";"V49";"V50";"V51";"V52";"V53";"V54";"V55";"V56";"V57";"V58";"V59";"V60";"V61";"V62";"V63"
"1";11,66;552,16;5,32;0,37;1,43;1,5;166,15;5,93;77,14;5,27;0,98;46,36;47,36;32,49;97,89;21,82;0,94;NA;0;9,51;64,01;21,8;95,3;9,74;0,06;1,12;1,21;162,7;122,36;115,63;10,94;0,77;3,37;4,37;44,09;77,13;35,72;2,36;NA;0;9,97;35,46;-877,56;122,86;-104,74;0;0,08;0,08;43,56;28,29;321,54;NA;8,14;-1,14;-0,14;-712,08;814,26;-92,06;-28,18;NA;64,38;19,75;-32,6
"2";-18,12;160,82;-16,63;0,08;0,9;0,9;334,13;301,16;367,65;NA;1,11;-9,88;-8,88;-14,5;111,26;-16,28;NA;NA;0;3,32;-20,49;0,47;-15,52;1,13;0,01;0,77;0,77;874,08;680,2;888,24;NA;1,03;-34;-33,03;16,51;103,03;0,46;NA;NA;0;38,53;93,87;-123,32;98,14;-11,72;0,12;0,38;0,38;34,7;19,72;76,6;NA;2,26;-1,8;-0,8;-100,08;225,65;-54,65;NA;NA;0;2,21;-23,51
"3";0,09;12,53;0,21;0,03;0,68;1,89;891,64;259,58;136,3;486,07;0,84;122,85;145,46;1,54;99,31;1,15;1,44;NA;49,65;3,55;-35,1;-0,6;-9,97;-5,8;0;0,54;1,68;3519,67;958,89;980,83;2080,45;0,81;13,55;16,63;-0,33;93,99;-0,23;2,69;NA;38,36;2,6;23,61;-49,12;91,54;-1300,99;0;1,52;3,17;9666,58;4536,55;2986,45;4999,08;1,54;-2,86;-1,86;-48,36;153,66;-31,81;99,9;NA;38,49;20,25;34
"4";-998,71;100,64;-274,64;0;0,09;0,09;100,1;79,28;1064,88;NA;10,9;-1,1;-0,1;-967,44;1092,38;-91,46;NA;NA;0;8,6;-43,95;221,18;-7,89;NA;0,01;0,03;0,03;NA;NA;NA;NA;29,02;-1,04;-0,04;221,11;2901,95;7,62;NA;NA;0;NA;-0,07;-59,81;1,84;NA;0;0,03;0,03;NA;NA;NA;NA;33,54;-1,03;-0,03;-59,81;3354,5;-1,78;NA;NA;0;NA;0
"5";6,42;12,5;2,84;1,49;3,5;3,5;161,1;66,67;33,1;NA;0,49;0,95;1,95;6,42;48,6;31,31;3;NA;0;0;0;2,76;59,54;2,65;0,02;1,04;1,04;350,09;320,74;312,51;NA;0,95;20,61;21,61;7,72;95,37;3,77;1,63;39785;1,2;4,78;51,54;4,81;62,02;3,13;0,07;1,47;1,47;237;206,12;145,96;NA;0,92;11,88;12,88;9,95;92,24;6,91;1,24;NA;0,58;3,33;39,5
"6";-8,29;-124,03;-3,42;0,05;0,62;0,75;150,44;69,92;131,91;16,68;0,93;13,97;14,97;3,51;93,32;-5,8;0,37;NA;0;4,88;60,52;-8,87;222,38;-4,79;0,06;1,15;1,16;196,69;170,64;157,18;1,43;1,04;-26,08;-25,08;0,17;103,99;-7,1;-0,51;NA;4,01;4,88;164,84;-204,6;87,99;-116,4;0,07;0,33;0,33;207,65;140,08;565,24;2,04;3,33;-1,43;-0,43;-183,64;332,52;-60,14;-46,74;NA;0,02;11,93;-23,92
"7";0,43;17,69;0,06;0,34;1,01;1,01;47,6;29,22;43,63;NA;0,98;40,58;41,58;38,42;97,6;4,46;1,09;70644,95;3,45;4,97;11,81;3,62;63,42;3,05;0,2;1,06;1,06;307,03;245,22;283,81;NA;0,94;16,54;17,54;21,31;94,3;5,81;15,66;10224,33;0;14,92;75,98;-591,96;106,09;-53,84;0,01;0,15;0,15;33,2;28,98;212,87;NA;6,58;-1,18;-0,18;263,42;657,99;-89,89;-191,24;7407,45;0;77,8;254,73
"8";14,08;139,48;9,88;0,02;0,69;0,82;255,39;143,95;193,86;26,84;0,9;8,88;9,9;26,18;89,9;20,61;0,47;NA;11,46;8,49;35,59;1,06;12,84;0,78;0,07;0,88;0,89;269,37;193,53;209,52;1,56;0,92;11,15;12,15;11,54;91,77;4,33;0,48;NA;12,15;7,76;59,92;-298,35;98,84;NA;0;0,07;0,07;NA;NA;NA;NA;4,02;-1,33;-0,33;-277,98;401,87;-72,22;-4,24;NA;55,24;NA;-9,23
"9";-0,53;-4,75;-0,61;0;0,97;0,99;421,69;224,77;204,64;6,42;0,89;8,03;9,04;15,79;88,94;3,27;1,98;11748,64;27,33;18,9;98,02;-4,4;-57,17;-6,77;0,04;0,98;0,99;559,81;353,22;274,74;7,13;0,92;11,99;12,99;9,75;92,3;-1,72;1,96;NA;28,15;21,76;94,8;-11,33;-360,04;-16,57;0,25;1,06;1,07;534,02;309,32;329,63;2,56;0,97;30,78;31,78;-1,89;96,85;-9,12;1,58;NA;23,68;13,81;-5111,41
"10";-320,17;100;NA;NA;NA;NA;NA;NA;NA;NA;4,2;-1,31;-0,31;-320,17;420,17;-76,2;NA;NA;0;NA;0;-30,75;102,93;-10,59;0;0,79;0,79;125,39;123,72;156,33;0;1,3;-4,35;-3,35;125,92;129,87;-23,67;NA;NA;0;53,97;127,34;-12530,36;65,25;-15,53;0;0,01;0,01;0,45;0,3;84,83;0;193,03;-1,01;-0,01;26220,79;19303,23;-64,91;NA;NA;0;48,03;144
