"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19";"V20";"V21";"V22";"V23";"V24";"V25";"V26";"V27";"V28";"V29";"V30";"V31";"V32";"V33";"V34";"V35";"V36";"V37";"V38";"V39";"V40";"V41";"V42";"V43";"V44";"V45";"V46";"V47";"V48";"V49";"V50";"V51";"V52";"V53";"V54";"V55";"V56";"V57";"V58";"V59";"V60";"V61";"V62";"V63"
"1";-3,01;-22,67;-4,9;0,02;0,95;1,01;591,42;132,19;142,31;9,15;0,4;3,01;7,52;15,1;86,71;42,99;0,36;21829,63;0;29,43;89,2;-0,21;-1,4;-0,28;0,01;0,77;0,82;487,88;165,78;218,23;10,21;47,37;319,44;6,74;19,37;47,37;46,64;0,24;12423,88;0;18,69;57,64;2,8;12,78;3,26;0,04;0,46;0,48;424,27;80,28;191,38;4,38;48,67;222,31;4,57;29,68;48,67;64,83;0,29;NA;0;22,32;48,61
"2";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-885,79;36,84;NA;0,01;0,04;0,04;27,97;23,14;688,33;NA;2504,34;-104,16;-0,04;1298,54;2504,34;-35,37;NA;NA;0;125,46;125,72
"3";7,7;30,84;3,91;0,05;0,56;0,99;185,07;38,73;84,54;53,99;0,75;3,01;4,01;47,63;75,05;16,72;0,95;18069,38;21,39;20,31;72,71;-5,59;-20,57;-2,89;0,04;0,51;1,1;188,39;14,58;88,22;58,07;0,73;2,68;3,68;47,91;72,83;1,63;1,08;12998,28;12,66;19,89;66,31;-21,52;-252,89;-18,1;0,06;0,46;0,91;306,25;21,22;176,24;92,05;0,91;10,75;11,75;18,22;91,49;-13;0,78;6494,73;22,15;24,66;109,61
"4";7,31;13,76;7,17;0,1;0,45;1;357,02;45,37;109,84;72,9;0,47;0,88;1,88;35,24;46,84;34,17;0,98;11076,17;5,62;27,4;75,62;0,33;0,59;0,3;0,05;0,2;1,09;334,72;13,34;72,72;80,66;0,44;0,8;1,8;28,16;44,32;22,77;1,02;6712,05;5,39;17,98;48,35;-52,57;-184,29;-85,81;0;0,09;0,21;594,09;24,83;300,59;35,93;0,71;2,51;3,51;-25,34;71,47;-46,38;0,54;NA;0;29,32;166,78
"5";-0,85;-3,95;-0,35;0;0,93;1,22;151,99;90,12;72,73;28,24;0,75;3,48;4,65;0,25;78,5;10,61;1,47;28942,84;25,48;0,46;22,6;-11,59;-52,3;-7,99;0;1,01;1,27;251,03;194,45;193,15;50,41;77,84;351,33;4,51;-10,7;77,84;-11,63;22,48;5257,69;0;0,42;-23,74;-6,95;-65,49;-17,44;0;1;1,11;913,12;798,14;804,79;88,73;89,13;839,62;9,42;-6,71;89,13;-1,66;7,13;5518,83;0;0,44;82,66
"6";-1,44;-3,27;-4,53;0,51;22,89;22,89;1147,47;1092,09;48,8;NA;0,05;0,1;2,28;16,49;56,11;-27,83;35,79;7156;0;56,51;188,29;-61,77;-88,8;-102,39;0,53;3,37;3,37;603,34;502,38;176,78;NA;0,3;0,44;1,44;-1,74;30,43;-190,89;NA;NA;0;71,08;1125,18;-672,51;292,14;-176,72;0,04;0,22;0,22;95,65;58,55;310,72;NA;3,3;-1,43;-0,43;-308,86;330,2;-202,07;-8,67;NA;0;67,6;815,92
"7";-13,13;-737,8;-32,17;0,07;0,21;0,41;891,81;46,77;260,67;66,21;0,98;55,2;56,2;-5,52;98,22;-3,45;0,7;16736,36;27,3;18,63;81,49;-21,7;139,37;-44,96;0,07;0,11;0,21;754,16;15,44;313,79;38,62;1,16;-7,42;-6,42;-12,45;115,57;-6,81;0,54;NA;30,26;14,08;71,87;-21,86;48,78;-71,6;0;0,06;0,09;1192,4;58,74;954,08;39,2;1,45;-3,23;-2,23;-16,72;144,81;-5,79;0,03;NA;35,01;12,3;82,31
"8";-38,05;103,98;-23,13;0;0,48;0,69;221,25;140,08;291,43;59,77;1,37;-3,73;-2,73;36,01;136,6;-25,74;-4,46;NA;0;32,04;139,59;-103,11;67,34;-62,7;0;0,27;0,37;221,35;147,51;546,09;54,3;2,53;-1,65;-0,65;-8,02;253,12;-39,35;-19,9;NA;0;40,51;370,74;-93,15;40,17;-77,67;NA;0,12;0,21;303,53;115,63;979,43;88,6;3,32;-1,43;-0,43;-13,13;331,86;-26,24;-7,2;NA;0,05;46,58;-1354,15
"9";10,74;104,41;11,5;0,39;1,85;1,93;389,58;235,93;145,64;15,76;0,9;8,72;9,72;15,67;89,71;13,89;1,21;48195,15;11,68;5,27;25,59;-2,65;-1174,81;-2,01;0,07;1,01;1,02;276,07;227,7;208,52;1,89;1;442,31;443,31;9,68;99,77;-0,65;1,27;NA;20,48;6,43;64,14;-0,85;-902,99;-1,17;0,01;1;1,01;501,96;433,29;490,32;3,73;1;1058,79;1059,79;10,48;99,91;-0,54;NA;NA;0,07;10,95;103,09
"10";-2,04;-7,91;-1,25;0,02;0,97;1,09;222,58;133,54;143,54;18,03;0,74;2,88;3,88;22,96;74,21;0,07;0,92;32410,33;0;15,29;70,12;-40,46;298,19;-84,23;0,02;0,66;0,75;757,84;462,25;714,95;62,63;113,57;-837,03;-7,37;-17,75;113,57;-34,45;-0,49;14595,58;0;34,85;72,01;-16,9;48,72;-19,38;0,01;0,55;0,59;417,33;254,19;468,63;18,09;134,61;-388,1;-2,88;8,58;134,61;-11,51;-1,02;13371,92;0,04;21,19;179,5
