"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19";"V20";"V21";"V22";"V23";"V24";"V25";"V26";"V27";"V28";"V29";"V30";"V31";"V32";"V33";"V34";"V35";"V36";"V37";"V38";"V39";"V40";"V41";"V42";"V43";"V44";"V45";"V46";"V47";"V48";"V49";"V50";"V51";"V52";"V53";"V54";"V55";"V56";"V57";"V58";"V59";"V60";"V61";"V62";"V63"
"1";2,24;-969,03;9,61;0,1;0,11;0,12;1561,15;9,14;898,99;18,96;0,8;-345,62;-432,45;7,58;100,23;8,59;0,15;12577,75;7,06;22,89;47,31;0;-1,5;-0,01;0,08;0,09;0,09;1331,44;20,28;1234,39;2,89;99,79;47454,6;475,55;5,65;99,79;5,14;0;NA;5,43;20,66;52,3;2,28;91,66;7,98;0,13;0,15;0,15;1274,32;19,31;1173,86;2,69;97,51;3918,64;40,19;8,94;97,51;6,27;0,03;NA;3,74;23,31;47,51
"2";19,7;22,84;12,07;3,98;5,17;7,26;223,15;36,29;30,4;64,33;0,14;0,16;1,16;19,7;13,78;142,96;NA;NA;0;0;0;7,52;8,18;4,95;11,73;11,73;12,31;239,62;NA;19,26;11,11;0,08;0,09;1,09;7,52;8,13;92,5;NA;NA;0;0;0;21,33;22,78;19,1;8,85;13,64;15,64;326;98,78;20,62;41,27;0,06;0,07;1,07;21,33;6,39;333,54;NA;NA;0;0;0
"3";26,36;76,39;66,08;0,62;1,63;1,63;912,46;559,71;555,21;NA;0,65;1,87;2,9;26,36;65,49;40,86;NA;NA;0;0;0;-38,7;-5479,03;NA;0,42;1,04;1,04;NA;NA;NA;NA;0,99;140,58;141,58;-38,7;99,29;-38,97;NA;NA;0;NA;0;-61,95;101,7;NA;0,26;0,62;0,62;NA;NA;NA;NA;1,61;-2,64;-1,64;-61,95;160,91;-38,5;NA;NA;0;NA;0
"4";0,46;1,34;0,96;0,64;0,76;2,74;751,33;19,55;184,6;369,8;0,58;1,67;2,89;22,52;65,36;17,77;2,08;2545,1;0;45,53;548,83;0,09;0,25;0,18;0,54;0,71;2,33;754,95;38,16;236,18;380,8;0,57;1,6;2,81;22,55;56,81;14,68;2,26;NA;0;33,29;390,8;-1,08;-2,76;-1,64;0,47;0,52;1,82;549;9,29;221,82;289,62;0,52;1,33;2,55;26,81;52,3;9,6;1,95;NA;0;29,96;1117,68
"5";2,04;20,95;3,85;0,05;0,16;0,16;687,53;67,29;609,57;NA;0,9;9,28;10,28;11,3;90,28;23,1;0,12;-7034,8;0;17,49;-16,45;3,39;41,44;17,07;0,07;0,11;0,11;1832,4;65,08;1650;NA;0,92;11,22;12,22;7,74;91,82;26,61;0,09;NA;0;21,91;-39,8;3,77;5,7;22,75;2,35;9,78;10,07;2198,63;276,62;37,21;10,5;0,34;0,51;1,51;7,6;33,95;54,75;1,19;NA;0;23,17;-130,7
"6";2,28;41,98;1,6;0,37;0,85;0,97;255,8;116,26;239,08;28,19;0,95;17,39;18,4;2,28;94,57;4,96;0,64;NA;0;0;0;2,7;37,62;1,72;0,02;0,77;1,09;231,63;149,81;200,46;63,48;0,93;12,94;13,94;2,7;92,83;5,09;1,44;NA;0;0;0;1,37;29,79;0,88;0,26;0,72;1,12;235,8;88,23;193,29;78,37;0,95;20,81;21,81;1,37;95,42;3,65;0,67;NA;0;0;0
"7";2,6;4,23;3,55;0,37;0,6;2,25;497,63;16,31;68,74;114,7;0,37;0,6;1,63;11,01;38,62;43,5;1,22;17244,38;12,53;11,5;55,21;4,87;8,29;6,2;0,19;0,52;2,23;463,36;21,21;64,15;109,95;0,4;0,68;1,7;14,06;39,89;43,7;1,22;7184,32;20,24;7,96;32,84;5,48;16,98;7,83;0,09;0,2;0,57;519,73;18,19;167,84;62,88;0,63;1,94;3,1;15,14;62,78;26,68;0,76;NA;26,94;9,62;43,16
"8";8,34;9,86;9,68;2,51;3,42;5,48;422,46;58,71;64,4;135,01;0,15;0,18;1,18;23,93;15,41;73,92;5,47;1574,57;0;18,08;178,1;6,34;6,34;7,44;1170,69;1707,8;2289,31;427,27;69,8;0,13;75,57;0;0;1;10,21;0,03;25131,43;3,38;NA;0;3,6;-20,03;16,58;17,7;26,8;5,48;6,87;13,16;588,42;44,69;32,11;202;0,06;0,07;1,07;16,58;6,33;261,9;3,42;NA;0;0;0
"9";8,94;22,28;2,76;0,39;1,04;1,05;112,61;43,16;66,59;0,81;0,6;1,49;2,49;13,4;59,9;17,37;1,09;51850;0;1,38;24,83;7,56;18,49;3,32;0,21;0,73;0,78;159,8;47,75;91,52;4,39;0,59;1,44;2,44;10,58;59,09;16,87;0,75;NA;0,01;1,09;16,69;6,04;15,21;3,14;0,35;1,09;1,1;188,84;63,81;86,94;1,43;0,52;1,3;2,52;8,96;51,64;18,83;0,92;NA;0;1,21;19,06
"10";0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0;0;NA;NA;NA;0;NA;NA;26,27;26,27;NA;NA;NA;NA;420,96;2,49;NA;NA;NA;NA;1;26,27;0;NA;NA;NA;0;0;0;27,2;31,04;10,39;4;8,08;8,08;139,1;69,48;17,03;NA;0,12;0,14;1,14;27,2;12,38;219,7;NA;NA;0;0;0
