"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19";"V20";"V21";"V22";"V23";"V24";"V25";"V26";"V27";"V28";"V29";"V30";"V31";"V32";"V33";"V34";"V35";"V36";"V37";"V38";"V39";"V40";"V41";"V42";"V43";"V44";"V45";"V46";"V47";"V48";"V49";"V50";"V51";"V52";"V53";"V54";"V55";"V56";"V57";"V58";"V59";"V60";"V61";"V62";"V63"
"1";0,75;17,72;0,48;0,6;1,04;1,04;230,35;97,73;218,09;NA;0,96;22,58;23,58;3,5;95,76;0,78;NA;348861;0;1,74;1,81;0,11;5,92;6,74;0,2;0,23;0,23;22888,04;637;22223,04;NA;0,98;54,22;55,22;1,21;98,19;0,11;0,02;7120;0;69,44;88,75;0,12;8,94;8,32;0,98;1,01;1,01;24942,8;907,8;24261,04;NA;0,99;72,4;73,4;1,22;98,64;0,12;NA;7952;0;75,24;79,48
"2";-36,19;-56,01;NA;2,83;2,83;2,83;NA;NA;NA;NA;0,35;0,55;1,55;-9,05;35,38;-102,28;NA;-126,33;0;NA;-355,15;4,45;59,38;1,74;0,06;1,13;1,13;141,96;132,17;123,75;NA;0,92;12,32;13,33;55,45;92,5;6,47;NA;8662,86;0;19,89;88,45;3,53;42,06;0,98;0,12;0,97;0,97;101,12;73,44;86,21;NA;0,92;10,92;11,92;32,48;91,61;8,15;0,67;9306,14;0;8,02;72,12
"3";5,58;5,82;11,67;15,92;21,37;21,38;761,43;155,04;11,05;0,29;0,04;0,04;1,04;12,43;4,08;346,91;5,08;NA;2,32;14,33;29,73;0,07;0,07;0,23;37,91;46,47;46,95;1169,54;174,56;20,43;9,88;0,02;0,02;1,02;6,86;2,15;335,58;5,85;NA;0;21,8;48,33;1,64;1,72;2,89;11,43;19,56;19,61;642,39;205,22;25,27;1,26;0,05;0,05;1,05;13,78;4,62;221,53;4,45;48613,4;0;21,36;49,57
"4";0;0;NA;NA;NA;NA;NA;NA;NA;NA;0;0;1;0;0;NA;NA;NA;0;NA;NA;-121,77;138,8;-682,75;0,06;0,09;0,09;2040,9;116,79;3789,34;0;1,88;-2,14;-1,14;-121,77;187,73;-49;-1,07;NA;0;0;0;40,83;-89,71;NA;0,06;0,1;0,1;NA;NA;NA;NA;1,46;-3,2;-2,2;40,83;145,51;33,89;-0,54;NA;0;NA;0
"5";37,26;77,95;10,12;-0,24;0,11;0,14;98,84;17;48,47;1,24;0,5;1,04;2,09;67,55;52,21;98,51;0,51;NA;0;8,23;38,85;-3,56;-17,48;-3,28;-0,05;0,08;0,08;335,4;33,39;258,08;2,1;0,78;3,82;4,91;16,22;79,64;-4,57;0,42;NA;0;18,22;106,25;-28,64;866,12;-11,84;0,02;0,31;0,32;150,86;42,69;149,68;1,41;1,03;-31,24;-30,24;5,37;103,31;-13,33;-0,05;4217,5;0;14,06;137,56
"6";6,08;60,36;5,24;0,58;0,77;0,86;180,95;54,66;278,28;26,07;0,9;8,93;9,93;10,02;89,93;13,88;0,49;12349,5;0;3,4;19,98;-14,89;118,86;-9,22;0,27;0,72;0,72;225,24;98,11;215,09;0,21;1,13;-8,98;-7,98;-9,13;112,53;-3,02;0,11;-5305,5;0;3,57;-114,99;-17,46;-25,74;-8,87;2,92;3,48;3,5;185,35;12,85;22,87;0,37;0,32;0,47;1,47;0,86;32,16;34,98;1,61;12756;0;9,3;53,46
"7";-70,62;403,03;-40,62;0,01;0,3;0,65;117,33;69,07;242,77;86,73;1,17;-6,7;-5,71;-68,94;117,52;-60,18;-0,92;-6365;0;0,97;-2,5;-6,61;24,24;-2,99;0;0;0,65;164,38;0,02;196;128,82;1,27;-4,66;-3,66;34,4;127,29;-3,72;-1,31;5602;0;18,52;58,44;-35,52;60,82;-33,53;NA;0;0,56;344,52;NA;506,75;288,56;1,58;-2,71;-1,71;-1,75;158,4;-21,43;-3,69;1105;0,03;31,87;290,86
"8";-9,9;-25,89;-38,1;0;0,91;1,34;1400,5;769,28;849,08;371,89;0,62;1,61;2,61;0,28;61,75;-11,57;2,41;NA;0;39,18;276,53;12,06;20,01;28,16;0,45;0,77;0,77;850,16;105,38;329,15;NA;0,4;0,66;1,66;20,33;39,76;37;0,88;NA;0;19,33;94,01;0,69;1,11;2,32;0,23;0,38;0,38;1233,71;67,45;452,73;NA;0,38;0,62;1,62;8,95;38,26;11,34;0,73;8972,22;0;27,93;62,26
"9";18,8;26,19;7,88;0,22;18,06;19,39;152,56;113,27;6,8;9,23;0,28;0,39;1,39;59,55;28,21;87,29;5,84;NA;0;17,08;50,29;14,38;17,94;7,37;0,14;13,16;13,43;186,64;147,86;12,03;3,31;0,2;0,25;1,25;51,3;19,82;94,49;7,52;NA;0;18,93;73,12;11,13;14,06;6,29;0,18;11,71;12,89;206,49;147,52;13,57;16,13;0,21;0,26;1,26;60,94;20,88;78,44;7,09;33480,43;0;28,18;76,12
"10";-76,55;36,53;-1019,54;0,07;0,18;0,24;4848,14;1712,6;14752,09;803,42;3,1;-1,48;-0,48;-76,55;309,57;-5,09;-8,45;NA;0;0;0;-67,89;12,45;-298,54;0,05;0,07;0,13;1600,66;271,62;10215,66;596,53;6,45;-1,18;-0,18;-67,89;645,31;-1,88;NA;NA;0;0;0;-106,14;28,43;-749,33;0,21;0,21;0,21;2576,9;0;12028,8;0;4,73;-1,27;-0,27;-106,14;473,28;-22,43;NA;NA;0;0;0
"11";8,33;13,96;2,69;1,2;1,32;2,06;117,78;5,28;23,13;33,91;0,4;0,68;1,68;15,64;40,33;25,68;3,44;NA;19,09;2,36;32,9;11,85;18,92;4,51;2,42;3,05;3,78;138,65;18,65;29,7;21,92;0,37;0,6;1,6;14,41;37,36;36;4,3;NA;15,7;0,97;11,13;10,54;16,28;5,11;2,43;3,18;3,49;177;32,29;42,98;13,71;0,35;0,54;1,54;13,25;35,27;29,88;5,37;14073,33;10,65;1,31;15,18
"12";-5,94;-11,34;-5,2;0;1,55;1,62;318,76;142,4;135,98;10;0,48;0,91;1,91;-4,32;47,67;-2,92;2,3;NA;4;1,42;30,09;-0,87;-1,92;-0,82;0,01;1,13;1,51;343,8;167,06;155,25;70,3;0,54;1,2;2,2;0,73;54,48;1,17;2,53;NA;8,42;1,51;46,35;-22,97;-97,66;-27,85;0;0,73;1,06;442,44;190,17;298,31;111,27;0,76;3,25;4,25;-21,5;76,48;-27,61;1,26;-79825,2;8,08;1,79;-7,54
"13";-6,76;-10,04;-7,51;1,39;1,39;2,85;180,21;0;130,28;193,03;0,33;0,49;1,49;28,21;32,68;-20,67;NA;NA;0;38,89;121,71;40,39;45,42;17,32;7,47;7,47;8,9;156,12;NA;16,27;23,74;0,11;0,12;1,12;151,21;11,09;364,25;NA;NA;0;47,53;86,36;1,82;5,16;1,62;0,39;0,39;0,55;325,8;0;206,8;34,4;0,65;1,84;2,84;63,85;64,8;2,8;0,58;NA;0;55,37;113,18
"14";-145,33;-110,82;-15,2;0,84;1,09;1,09;38,07;72,07;279,43;NA;8,67;6,61;0,76;46,84;866,5;-7,73;1,39;NA;13,23;20,1;176,64;-34,85;37,54;-3,54;0,05;0,4;0,4;36,98;21,77;62,72;NA;1,93;-2,08;-1,08;-25,32;192,84;-5,38;-2,29;NA;0;0,97;22,95;206,2;-420,88;6,22;0,09;1,34;1,34;11;4,78;3,81;NA;1,49;-3,04;-2,04;233,23;148,99;160,5;-0,4;59873;0;0,81;8,91
"15";0,89;13,26;0,64;0,22;0,77;1;262,24;131,8;239,01;55,7;0,93;13,94;14,94;12,98;93,31;5,73;0,93;NA;0;8,71;78,53;-0,06;-0,91;-0,05;0,34;0,72;1,03;295,57;103,58;270,8;85,77;0,93;13,97;14,97;11,83;93,32;4,06;1,81;NA;0;9,66;72,44;-1,78;-30,31;-1,05;0,09;0,62;1,04;215,89;105,78;197,68;84,09;0,94;16,04;17,04;10,35;94,13;0,83;2,43;8102,89;0;7,17;87,92
"16";31,14;39,21;9,84;3,71;4,75;4,77;114,95;23,67;22,8;0,44;0,21;0,26;1,26;54,52;20,57;165,65;18,81;20352,25;0;7,38;34,7;16,2;36,72;4,3;0,07;1,73;1,76;96,54;84,79;51,04;1,53;0,55;1,25;2,27;93,42;55,87;45,38;8;NA;0;20,48;62,15;-11,77;-71,05;-5,98;0,81;1,1;1,11;185,38;43,97;148,57;1,4;0,83;4,99;6,04;31,51;83,44;-10,68;1,87;NA;0;21,98;112,67
"17";20,31;61,89;4,64;0,18;1,49;1,49;83,2;72,12;55,29;0;0,67;2,05;3,05;20,31;67,19;30,22;NA;NA;0;0;0;8,02;33,48;1,59;0,27;1,22;1,22;72,35;51,5;54,42;0;0,76;3,18;4,18;8,02;76,05;13,84;3,19;NA;0;0;0;4,56;34,37;2,78;0,14;1,01;1,01;222,94;127,38;147,29;NA;0,87;6,54;7,54;4,56;86,73;11,21;1,01;NA;0;0;0
"18";11,41;13,46;23,88;2,83;4,13;4,95;761,94;105,43;81,36;67,59;0,12;0,15;1,18;28,21;15,22;113,74;1,86;13097,36;0;35,16;64,88;6,47;8,07;13,03;1,57;2,13;2,77;733,66;73,16;130,83;85,91;0,2;0,25;1,25;21,95;19,86;47,4;1,64;10456,87;0;31,22;87,08;0,13;0,15;0,4;1,35;2,04;3,28;1156,39;110,01;159,96;201,62;0,16;0,19;1,19;15,49;15,97;20,38;1,6;5163,85;0;48,68;167,36
"19";-0,08;-0,08;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;-0,08;0;NA;NA;NA;0;NA;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0;0;NA;NA;NA;0;NA;NA;-3,6;-3,64;-30,99;103,28;103,28;103,28;3141,48;NA;30;NA;0,01;0,01;1,01;-3,6;0,97;-371,83;NA;NA;0;0;0
"20";-223,16;153,6;NA;0,47;0,41;0,41;NA;NA;NA;NA;2,45;-1,69;-0,69;-223,16;245,28;-90,98;NA;NA;0;NA;NA;110,45;117,37;49,92;3,89;16,97;16,97;164,51;125,42;9,59;0;0,06;0,06;1,06;210,09;5,89;1874,93;NA;13333;0;45,03;45,03;33,43;35,43;17,95;17,7;17,7;17,7;195,96;NA;10,92;NA;0,06;0,06;1,06;137,01;5,65;591,63;NA;6559;0;55,61;73,5
"21";5,75;38,12;1,93;0,19;0,83;0,83;121,92;64,41;99,81;NA;0,85;5,62;6,62;16,15;84,9;14,72;0,57;NA;1,99;3,48;37,61;-10,14;-24854,22;-3,12;0,1;0,78;0,78;111,98;74,35;110,58;NA;1;2450,21;2451,21;-3,16;99,96;-5,6;0,01;NA;0;2,15;234,41;0,08;70,18;0,02;0,29;0,82;0,82;86,17;44,91;84,49;NA;1;840,99;844,98;5,99;99,88;4,94;0,01;30418,5;0;1,39;46,77
