"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19";"V20";"V21";"V22";"V23";"V24";"V25";"V26";"V27";"V28";"V29";"V30";"V31";"V32";"V33";"V34";"V35";"V36";"V37";"V38";"V39";"V40";"V41";"V42";"V43";"V44";"V45";"V46";"V47";"V48";"V49";"V50";"V51";"V52";"V53";"V54";"V55";"V56";"V57";"V58";"V59";"V60";"V61";"V62";"V63"
"1";0,36;0,82;0,86;0,04;0,2;0,44;873,17;71,33;394,98;108,05;0,56;1,28;2,28;5,73;56,2;11,66;0,63;9813;9,42;12,87;37,06;0,47;1,1;1,05;0,07;0,23;0,52;817,07;69,05;419,7;132,51;0,58;1,36;2,36;5,57;57,56;10,59;0,62;9556,27;5,11;11,43;37,78;0,31;0,77;0,79;0,06;0,22;0,64;935,7;91,19;546,76;229,18;0,6;1,5;2,5;5,28;59,93;8,69;0,65;7958,39;0,73;12,78;43,62
"2";12,88;47,87;10,43;0,08;1,1;1,29;294,68;217,67;212,72;39,46;0,73;2,72;3,72;19,57;73,09;17,63;5,37;NA;0;5,42;28,13;6,44;20,32;6,21;0,8;0,95;1,03;352,23;32,87;214,12;15,48;0,68;2,16;3,16;12,92;68,31;14,46;1,07;18127,5;6,56;6,25;29,41;0,96;2,6;0,67;0,11;1,02;1,13;255,3;117,7;128,32;13,44;0,63;1,71;2,71;9,3;63,12;23,95;1,15;20843,5;0;5,85;30,45
"3";-0,61;-1,48;-0,07;0,96;0,37;0,97;38,77;-6,26;10,76;6,49;0,59;1,41;2,41;25,17;58,55;69,03;0,99;NA;0;2,75;34,22;0,29;1,03;0,06;0;0,57;1,14;74,57;27,56;42,59;27,65;0,72;2,58;3,58;9,42;72,03;32,39;1,36;NA;7,75;1,87;30,91;-5,06;-25,08;-1,61;0,05;0,49;0,51;115,58;40,87;46,32;1,56;0,8;3,95;4,95;0,67;79,82;14,98;0,34;NA;39,18;1,34;42,14
"4";-9,27;-46,25;-3,41;0,32;0,88;1,17;133,82;49,52;87,54;25,84;0,8;3,99;4,99;6,92;79,96;-1,1;1,54;NA;13,71;5,95;80,89;4,1;20,68;1,81;0,14;0,53;0,87;160,88;49,08;119,45;42,38;0,8;4,04;5,04;58,06;80,15;15,67;0,64;22078;3,14;23,78;77,75;2,51;13,58;1,41;0,12;0,67;0,67;204,23;41,2;75,55;0,38;0,82;4,41;5,41;12,93;81,52;29,45;0,85;NA;44,11;5,85;24,28
"5";0,03;0,36;0,02;0,22;0,65;1,14;249,1;92,67;158,68;106,92;0,92;10,82;11,82;25,77;91,54;0,03;NA;NA;23,3;17,61;92,02;0,03;1,35;0,02;0,2;0,61;1,04;231,85;90,93;156,48;94,82;0,98;51,11;52,11;30,91;98,08;0,03;NA;7989,63;27,19;19,62;98,89;0,06;3,35;0,03;0,4;1,11;1,59;216,65;95,58;59,25;64,96;0,98;58,65;59,65;26,85;98,32;0,06;NA;10113;34,65;15,95;86,75
"6";42,08;72,38;14,68;0,15;1,45;2,25;126,97;62,33;47,85;39,38;0,42;0,72;1,72;84,37;41,85;108,09;4,32;26662,42;0,16;14,75;43,57;6,84;11,12;4,05;0,41;1,35;2,42;215,89;72,85;76,53;83,18;0,38;0,62;1,62;41,47;38,46;25,36;4,95;15285,25;0,17;20,48;72,17;-0,9;-2,16;-0,59;0,17;0,92;1,5;241,43;102,32;135,04;79,14;0,59;1,41;2,41;26,5;58,55;2,9;2,82;14581,67;0,1;18,17;87,02
"7";29,22;138,38;12,61;0,38;1,26;1,29;157,14;94,49;80,04;3,72;0,79;3,74;4,74;51,13;78,89;41,99;2,77;24834;26,54;9,46;31,92;21,68;47,7;8,79;1,65;2,48;2,52;147,94;44,57;53,42;1,76;0,55;1,2;2,2;44,98;54,55;47,81;7,84;29563;16,41;9,44;33,76;3,21;6,38;1,48;1,29;1,88;2,05;168,13;40,96;69,46;11,65;0,5;0,98;1,98;32,74;49,58;20,96;3,96;13752,5;5,91;13,64;66,42
"8";2,16;6,87;1,01;0,51;1,42;1,45;169,59;74,15;63,77;2,87;0,69;2,18;3,18;14,72;68,55;15,76;1,77;NA;10,98;5,85;74,72;2,59;7,32;1,22;0,53;1,46;1,49;171,66;90,33;63,21;3,03;0,65;1,82;2,82;22,82;64,56;17,97;2,93;NA;20,05;9,51;65,32;2,93;16,23;2,4;0,19;0,98;0,99;298,81;122,37;119,94;2,25;0,82;4,54;5,54;8,63;81,96;8,14;0,99;NA;29,99;4,68;35,41
"9";0,98;1,38;3,02;262,47;470,62;470,71;1120,5;90,03;0,43;0,04;0,19;0,26;1,41;0,98;28,84;76,42;1,1;NA;18,77;0;0,01;2,74;3,73;8,61;13,96;16,04;16,05;1145,85;25,1;12,02;0,04;0,17;0,23;1,36;2,75;26,57;86,56;1,08;NA;15,67;0,02;0,04;0,67;0,87;1,8;5,47;6,72;6,73;977,09;39,59;31,6;0,04;0,14;0,18;1,29;0,67;22,65;92,48;1,13;NA;10,63;0;0
"10";18,13;22,9;17,01;3,73;7,55;7,89;341,58;161,57;42,29;14,56;0,21;0,26;1,26;61,64;20,84;128,46;101,52;NA;0;40,84;67,12;7,71;12,03;7,63;1,28;4,29;4,46;361,42;237,94;78,97;13,53;0,36;0,56;1,56;58,31;35,95;21,77;92,58;41711,28;0,03;50,11;78,81;25,85;64,25;20,37;3,3;4,54;4,75;286,88;72,04;58,26;12,55;0,6;1,49;2,49;74,57;59,76;43,53;29,46;55543,94;0;38,4;59,43
"11";-6,71;-17,89;-9,29;0,02;0,19;0,23;504,02;44,71;277,99;11,32;0,61;1,63;2,67;8,26;62,51;7,43;0,49;NA;5,2;20,73;50,91;-0,56;-1,55;-0,98;0,09;0,2;0,26;633,24;42,09;377,09;21,81;0,63;1,75;2,75;11,6;63,66;0,46;0,47;8347,2;2,98;21,1;70,31;-0,11;-0,27;-0,32;0,18;0,23;0,28;1023,47;24,36;547,95;27,6;0,58;1,38;2,38;11,02;58,06;0,09;0,54;5716,61;3,67;31,32;108,72
"12";8,35;9,75;6,59;2,22;6,14;6,41;287,39;125,72;32,19;9,04;0,14;0,17;1,17;36,22;14,38;89,49;3,18;25857,26;0;22;63,96;2,53;2,96;2,33;2,08;5,22;5,6;335,4;129,04;41,36;16,24;0,14;0,17;1,17;28,94;14,41;48,95;2,91;23357,03;0;24,27;68,45;8,49;9,8;7,91;2,66;6,08;6,57;338,92;127,02;37,25;18,3;0,13;0,15;1,15;35,18;13,32;94,32;3,27;28768,45;0;24,85;59,55
"13";0,43;1,1;0,34;0,11;0,56;1,07;285,77;72,99;161,65;82,72;0,58;1,46;2,53;25,54;60,44;12,72;1,03;NA;0;19,71;78,24;0,39;0,99;0,3;0,22;0,64;1,13;280,52;69,65;162,37;79,62;0,59;1,5;2,54;25,03;60,57;11,89;1,19;NA;0;18,94;75,83;0,52;1,41;0,37;0,19;0,73;1,22;254,57;85,04;156,55;77,06;0,63;1,69;2,69;24,13;62,77;14,57;1,58;11046;0;16,51;68,44
"14";10,13;88,77;3,21;0,22;0,48;0,9;115,36;24,97;97,06;41,25;0,89;7,77;8,77;16,32;88,59;17,68;0,63;NA;0;1,96;26,89;9,1;49,51;123,87;0,25;0,7;0,94;4969,49;1666,51;3893,76;937,88;0,82;4,44;5,44;14,15;81,62;18,6;0,81;-362013;0;68,74;-1,58;6,71;48,29;431,35;0,02;0,55;0,73;23399,21;10749,47;20118,04;3645,95;0,86;6,2;7,2;10,57;86,1;18,35;0,39;-397914,33;0;247,96;-1,33
"15";-38,97;-152,99;-30,98;0,2;0,89;0,95;289,34;125;182,99;11,44;0,75;2,93;3,93;-31,52;74,53;-26,61;0,92;-12638,5;0;5,93;-80,92;-2,75;-12,81;-2;0,31;1;1,09;266,16;132,86;192,93;16,98;0,79;3,66;4,66;3,85;78,55;17,12;1,36;34347,5;0;4,81;27,75;33,56;59,57;23,44;0,82;1,97;2,19;254,27;118,33;103,6;22,94;0,44;0,77;1,77;41,18;43,66;102,05;6,06;64149;0;5,32;16,14
"16";0,22;16,97;0,08;0,15;0,74;0,75;135,53;51,52;83,87;1,01;0,99;75,66;76,72;41,36;98,7;8,86;0,67;NA;13,47;15,32;79,15;13,65;92,54;4,26;0,13;0,77;0,78;113,78;41,92;62,4;0,72;0,85;5,77;6,78;51,8;85,25;23,71;0,75;29959,18;9,08;11,89;60,21;4,71;85,09;1,88;0,16;0,83;0,84;145,23;72,5;105,34;1,67;0,94;17,07;18,07;32,74;94,47;12,2;0,67;NA;4,88;11,18;63,24
