"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19";"V20";"V21";"V22";"V23";"V24";"V25";"V26";"V27";"V28";"V29";"V30";"V31";"V32";"V33";"V34";"V35";"V36";"V37";"V38";"V39";"V40";"V41";"V42";"V43";"V44";"V45";"V46";"V47";"V48";"V49";"V50";"V51";"V52";"V53";"V54";"V55";"V56";"V57";"V58";"V59";"V60";"V61";"V62";"V63"
"1";13,13;60,56;2,35;0,04;0,74;11,2;65,1;4,05;5,75;60,96;0,78;3,61;4,61;13,13;78,32;16,76;NA;NA;0;0;0;12,9;40,74;2,4;0,14;0,86;8,35;67,98;5,74;8,03;60,99;0,68;2,16;3,16;12,9;68,33;18,88;NA;NA;0;0;0;7,88;17,48;1,21;0,24;0,85;5,85;55,7;5,69;9,42;47,77;0,55;1,22;2,22;7,88;54,93;14,34;NA;NA;0;0;0
"2";-17,81;-17,81;-72,93;NA;NA;NA;1490,2;NA;NA;NA;NA;NA;1;-16,17;0;NA;NA;NA;0;6,71;-9,71;0;0;NA;NA;NA;NA;NA;NA;NA;NA;0;0;1;0;0;NA;NA;NA;0;NA;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0;0;NA;NA;NA;0;NA;NA
"3";0;NA;0;0,18;0,38;0,99;129,8;25,38;128,35;79,72;1;NA;NA;17,7;100;3,09;0,07;29387,14;0;6,31;39,42;0;NA;0;0,23;0,4;0,99;134,28;22,43;132,44;80,47;1;NA;NA;21,29;100;0;0;27799,86;0;7,83;48,21;0;NA;0;0,16;0,33;1;116,81;18,88;115,49;78,66;1;NA;NA;24,85;100;0;NA;23460,71;0;7,98;58,98
"4";60,93;73,29;38,16;3,23;6,07;6,07;227,98;105,5;37,08;NA;0,17;0,2;1,2;99,75;16,87;361,18;NA;NA;0;24,31;33,93;22,53;25,74;23,4;1,44;8,02;8,02;379,01;306,23;46,55;0;0,12;0,14;1,14;46,54;12,45;180,95;NA;NA;0;24,92;46,28;-5,75;-6,6;NA;0,15;7,83;7,83;NA;NA;NA;NA;0,13;0,15;1,15;-5,75;12,78;-45,04;NA;NA;0;NA;0
"5";0,01;0,35;0;0,29;0,76;1,08;114,62;49,44;105,34;33,67;0,96;24,5;25,5;39,61;96,08;0,69;NA;NA;0;12,47;100,4;0,01;0,33;0;0,26;0,66;1,05;139,38;52,5;131,31;51,82;0,96;25,75;26,75;32,27;96,26;0,01;NA;11673,5;0;12,32;101,53;0,12;5,24;0,05;0,18;0,79;1,03;152,55;90,29;146,81;34,85;0,98;41,87;42,87;9,31;97,67;0,13;NA;7638,33;0;3,85;99,62
"6";29,68;37,75;13,75;3,8;4,21;4,66;115,8;14,38;35,62;16,3;0,21;0,27;1,27;29,68;21,36;138,96;NA;NA;0;0;0;23,37;40,34;13,49;1,63;2,34;2,38;210,73;61,73;87,44;3,63;0,42;0,73;1,73;23,37;42,07;55,55;NA;NA;0;0;0;18,76;29,98;11;1,71;2,61;2,67;213,43;70,66;78,96;5,16;0,37;0,6;1,6;18,76;37,41;50,16;NA;NA;0;0;0
"7";33,93;94,48;9,25;0,19;0,96;1,56;99,26;44,01;57,71;35,2;0,64;1,78;2,78;83,26;64,09;64,57;5,43;NA;0;13,45;48,35;30,18;94,33;5,89;0,14;0,99;1,45;71,28;38,68;45,72;21,48;0,68;2,12;3,13;81,17;68,01;48,42;7,51;31406,67;0;9,96;54,5;14,2;90,71;5,79;0;0,46;0,91;148,36;47,31;98,09;46,56;0,84;5,34;6,39;54,4;84,35;20,41;0,68;24807,08;10,92;16,39;62,62
"8";5,26;26,76;1,85;0,26;0,47;1,37;128,26;14,64;71,12;65,37;0,8;4,09;5,09;39,34;80,36;17,15;1,81;NA;20,64;12,01;63,24;8,21;26,21;1,8;0,28;0,55;1,77;80,06;9,95;23,8;45;0,69;2,19;3,19;67,92;68,66;24,26;2,81;45350;34,62;13,1;70,42;11,42;28,13;2,47;0,5;0,82;2,08;78,66;10,86;26,95;43,13;0,59;1,46;2,46;71,4;59,39;32,47;5,4;49458,5;15,9;12,96;69,65
"9";0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0;0;NA;NA;NA;0;NA;NA;-20,92;-20,92;NA;NA;NA;NA;NA;NA;NA;NA;0;0;1;0;0;NA;NA;NA;0;NA;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0;0;NA;NA;NA;0;NA;NA
"10";46,33;90,05;12,67;1,28;2,21;2,21;99,52;28,91;31,16;NA;0,49;0,94;1,94;88,51;48,56;112,87;2,26;NA;0;11,53;37,98;58,15;79,51;25,7;2,45;3,8;3,8;161,35;51,92;38,45;0;0,27;0,37;1,37;81,99;26,87;232,49;9,24;NA;0;10,54;23,32;7,24;9,13;NA;0,22;4,97;4,97;358,89;316,9;42,34;NA;0,2;0,25;1,26;38,82;20,12;57;12,34;NA;6,85;23,06;48,62
